Pred Gt
0.9951377511024475 1
0.043687593191862106 1
0.6510838270187378 1
0.9094265699386597 1
0.7925710678100586 1
0.04608393460512161 1
0.6402705311775208 1
0.9470153450965881 1
0.0017034130869433284 1
0.33622103929519653 1
0.06825115531682968 1
0.0024080262519419193 0
0.45769166946411133 0
0.38224318623542786 0
0.003997317049652338 0
0.603687047958374 0
0.9990969896316528 0
0.009546216577291489 0
0.4926275312900543 0
0.02232307940721512 1
0.007749542593955994 1
0.0005665389471687376 1
0.09753577411174774 1
1.9949995476054028e-05 1
0.14285434782505035 1
0.5944653153419495 1
0.9995346069335938 1
0.000236294130445458 1
0.05163886770606041 1
0.7745137214660645 1
0.0668853223323822 1
0.11883323639631271 1
0.027820399031043053 0
0.9571637511253357 0
0.05037810280919075 0
0.03167660906910896 0
0.00045181228779256344 0
0.14584071934223175 0
0.047168802469968796 0
0.8868539929389954 1
0.020583288744091988 1
0.04372107610106468 1
0.007233927492052317 1
0.9979058504104614 1
0.0001425933005521074 1
0.03398030623793602 1
0.9943114519119263 1
0.9454050064086914 1
0.9998010993003845 1
0.3243406116962433 0
0.8002991676330566 0
0.07814662158489227 0
3.612990622059442e-05 0
0.031820300966501236 0
0.0007415366126224399 0
0.0009850017959252 1
0.13516128063201904 1
0.9708392024040222 1
0.9074575304985046 1
0.01146069634705782 1
0.2645491063594818 1
0.4273863732814789 1
0.9991551637649536 1
0.41806527972221375 1
0.22900965809822083 0
0.03754889592528343 0
0.023747660219669342 0
0.01285267248749733 0
0.13698332011699677 0
0.013886980712413788 1
0.07244152575731277 1
0.9669943451881409 1
0.06321612000465393 1
0.0385570153594017 1
0.17529256641864777 1
0.9989632368087769 1
0.0010724518215283751 1
0.016875091940164566 1
0.5396242737770081 1
0.37818777561187744 0
0.6126657128334045 0
0.1784280389547348 0
0.0022119495552033186 0
0.9999083280563354 1
0.9589750170707703 1
0.9926994442939758 1
0.9999744892120361 1
0.22602955996990204 1
0.9929446578025818 1
0.9997673630714417 1
0.9898470044136047 1
0.9996209144592285 1
0.016063878312706947 1
0.006517474073916674 0
0.9985806941986084 0
0.0018180581973865628 1
0.9594632983207703 1
0.0007083244272507727 1
0.9828248023986816 1
0.011509782634675503 1
0.9228927493095398 1
0.07940656691789627 1
0.917292594909668 1
0.9999939203262329 1
0.09293171763420105 1
0.6625127792358398 1
0.0004202635900583118 0
0.018545027822256088 0
0.018365271389484406 0
0.9998636245727539 0
0.6234108209609985 0
0.0013889927649870515 0
0.37426379323005676 1
0.0021687266416847706 1
0.9993007183074951 1
0.07275030016899109 1
0.0019833974074572325 1
0.14178523421287537 1
0.003994235303252935 1
0.8957114219665527 1
0.3856123983860016 1
0.9076414108276367 0
0.9870250225067139 0
0.35143280029296875 0
0.19323082268238068 0
0.7836434841156006 0
0.998279333114624 1
0.9998323917388916 1
0.9152770042419434 1
0.9933561086654663 1
0.07913485169410706 1
0.026914939284324646 1
0.9913318157196045 1
0.9998708963394165 1
0.9999083280563354 1
0.043814752250909805 1
0.9921914935112 1
0.9995059967041016 0
0.9847592711448669 0
0.0005937952664680779 0
0.9955706000328064 0
0.02090398222208023 0
0.005922405049204826 1
0.015203507617115974 1
0.013628077693283558 1
0.9324268698692322 1
0.02706744708120823 1
0.8704308271408081 1
0.019876629114151 1
0.9964827299118042 1
0.1323241889476776 1
7.929706043796614e-05 0
0.23153166472911835 0
5.786436645394133e-07 0
0.042279135435819626 0
0.4103015065193176 0
0.02415807731449604 0
0.9645637273788452 1
0.7382121682167053 1
0.9994749426841736 1
0.889216959476471 1
0.07007502764463425 1
0.9929306507110596 1
0.9791582226753235 1
0.9133358597755432 1
7.922217264422216e-06 0
0.9989438652992249 0
